clone_id,multi_count,single_count,regime,hit_tot,single_multi
G04_A3_H09_1,5,5,SEX,10,1.0
A05_A1.1_A08_1,22,30,ASEX,52,1.3636363636363635
C05_A1.1_A09_1,20,32,ASEX,52,1.6
F02_A1.1_A11_1,18,43,ASEX,61,2.388888888888889
A03_A1.1_A12_1,22,49,ASEX,71,2.227272727272727
C03_A3_H11_1,11,8,SEX,19,0.7272727272727273
E03_A3_H03_1,9,8,SEX,17,0.8888888888888888
A04_A3_G12_1,6,12,SEX,18,2.0
E04_A3_G01_1,4,6,SEX,10,1.5
G04_A3_H09_2,4,3,SEX,7,0.75
A05_A1.1_A08_2,20,36,ASEX,56,1.8
C05_A1.1_A09_2,23,39,ASEX,62,1.6956521739130435
F02_A1.1_A11_2,21,38,ASEX,59,1.8095238095238095
A03_A1.1_A12_2,24,51,ASEX,75,2.125
C03_A3_H11_2,11,5,SEX,16,0.45454545454545453
E03_A3_H03_2,10,8,SEX,18,0.8
G03_A1.1_B12_2,23,52,ASEX,75,2.260869565217391
A04_A3_G12_2,10,13,SEX,23,1.3
E04_A3_G01_2,6,10,SEX,16,1.6666666666666667
E03_A3_H03_3,11,10,SEX,21,0.9090909090909091
E03_A3_H03_4,8,14,SEX,22,1.75
H04_A3_A02_1,7,12,SEX,19,1.7142857142857142
B05_A1.1_G01_1,17,40,ASEX,57,2.3529411764705883
D05_A1.1_C12_1,10,27,ASEX,37,2.7
G02_A1.1_H02_1,12,18,ASEX,30,1.5
B03_A3_H06_1,9,13,SEX,22,1.4444444444444444
D03_A3_B12_1,9,7,SEX,16,0.7777777777777778
F03_A3_H04_1,13,10,SEX,23,0.7692307692307693
H03_A1.1_A06_1,21,32,ASEX,53,1.5238095238095237
B04_A1.1_A02_1,15,24,ASEX,39,1.6
F04_A3_B01_1,6,8,SEX,14,1.3333333333333333
H04_A3_A02_2,7,14,SEX,21,2.0
B05_A1.1_G01_2,24,47,ASEX,71,1.9583333333333333
D05_A1.1_C12_2,12,26,ASEX,38,2.1666666666666665
D02_A1.1_A05_2,12,10,ASEX,22,0.8333333333333334
G02_A1.1_H02_2,18,38,ASEX,56,2.111111111111111
B03_A3_H06_2,4,11,SEX,15,2.75
D03_A3_B12_2,13,13,SEX,26,1.0
F03_A3_H04_2,10,5,SEX,15,0.5
B04_A1.1_A02_2,7,20,ASEX,27,2.857142857142857
F04_A3_B01_2,8,10,SEX,18,1.25
E05_A1.1_H01_1,13,19,ASEX,32,1.4615384615384615
G05_A1.1_E12_1,9,19,ASEX,28,2.111111111111111
A06_A3_H07_1,4,14,SEX,18,3.5
D06_A1.1_H11_1,13,14,ASEX,27,1.0769230769230769
F06_A3_A11_1,7,11,SEX,18,1.5714285714285714
H06_A3_H10_1,5,10,SEX,15,2.0
E05_A1.1_H01_2,13,16,ASEX,29,1.2307692307692308
A06_A3_H07_2,9,6,SEX,15,0.6666666666666666
D06_A1.1_H11_2,11,15,ASEX,26,1.3636363636363635
F06_A3_A11_2,9,6,SEX,15,0.6666666666666666
H06_A3_H10_2,7,17,SEX,24,2.4285714285714284
G05_A1.1_E12_4,14,20,ASEX,34,1.4285714285714286
F05_A3_H05_1,8,8,SEX,16,1.0
H05_A1.1_D12_1,18,28,ASEX,46,1.5555555555555556
C06_A1.1_A10_1,16,57,ASEX,73,3.5625
E06_A1.1_H05_1,19,44,ASEX,63,2.3157894736842106
G06_A3_E01_1,6,14,SEX,20,2.3333333333333335
F05_A3_H05_2,6,9,SEX,15,1.5
H05_A1.1_D12_2,23,30,ASEX,53,1.3043478260869565
C06_A1.1_A10_2,22,53,ASEX,75,2.409090909090909
E06_A1.1_H05_2,22,43,ASEX,65,1.9545454545454546
G06_A3_E01_2,5,15,SEX,20,3.0
F05_A3_H05_3,3,8,SEX,11,2.6666666666666665
F05_A3_H05_4,6,10,SEX,16,1.6666666666666667
